actor_id,type,name,is_part_of,datasource_id
TR KFK,city,Kefken,TR-41,UNLOCODE:2022-1
GB SHN,city,Shandon,GB-AGB,UNLOCODE:2022-1
PA GDE,city,Río Grande,PA-10,UNLOCODE:2022-1
DE OBG,city,Obernburg am Main,DE-BY,UNLOCODE:2022-1
CA YAW,city,Shearwater,CA-NS,UNLOCODE:2022-1
SK MAK,city,Malé Kosihy,SK-NI,UNLOCODE:2022-1
DE NIS,city,Neu Isenburg,DE-HE,UNLOCODE:2022-1
DE VEJ,city,Vetschau,DE-BB,UNLOCODE:2022-1
ES SCQ,city,Santiago de Compostela,ES,UNLOCODE:2022-1
FR EVX,city,Évreux,FR-27,UNLOCODE:2022-1
AU NNG,city,Nar Nar Goon,AU-VIC,UNLOCODE:2022-1
US DTP,city,Portland,US-TX,UNLOCODE:2022-1
FR VBI,city,Verberie,FR-60,UNLOCODE:2022-1
BE WAA,city,Waasmunster,BE-VOV,UNLOCODE:2022-1
ID SUN,city,Sunut,ID-NB,UNLOCODE:2022-1
JP XZW,city,Nakatsugawa,JP-21,UNLOCODE:2022-1
US UQX,city,McKenzie,US-TN,UNLOCODE:2022-1
US LSG,city,Lansing,US-KS,UNLOCODE:2022-1
FR NV3,city,Lanrivain,FR-22,UNLOCODE:2022-1
GT SNT,city,Santiago Atitlán,GT-07,UNLOCODE:2022-1
SE KAM,city,Katrineholm,SE-D,UNLOCODE:2022-1
DE WM9,city,Weismain,DE-BY,UNLOCODE:2022-1
DE GGB,city,Grünberg (Brand Oberpfalz),DE-BY,UNLOCODE:2022-1
FR MXF,city,Myans,FR-73,UNLOCODE:2022-1
CA SFE,city,Saint-Félicien,CA-QC,UNLOCODE:2022-1
FR ARY,city,Argonay,FR-74,UNLOCODE:2022-1
DE VTO,city,Vastorf,DE-NI,UNLOCODE:2022-1
BE WOU,city,Waterland-Oudeman,BE-VOV,UNLOCODE:2022-1
GB AS9,city,Ashley,GB-STS,UNLOCODE:2022-1
DE MQN,city,Massenhausen,DE-BY,UNLOCODE:2022-1
RS SZF,city,Crvenka,RS,UNLOCODE:2022-1
IT PDE,city,Piacenza d'Adige,IT-PD,UNLOCODE:2022-1
US D9Y,city,Pendroy,US-MT,UNLOCODE:2022-1
US F8S,city,Stevinson,US-CA,UNLOCODE:2022-1
NL BOX,city,Boxmeer,NL,UNLOCODE:2022-1
HR MCA,city,Marcana,HR-18,UNLOCODE:2022-1
DE B8T,city,Berglangenbach,DE-RP,UNLOCODE:2022-1
KR UJN,city,Uljin-gun,KR-47,UNLOCODE:2022-1
PT AVV,city,Arcos de Valdevez,PT-16,UNLOCODE:2022-1
FR EMX,city,Eymeux,FR-26,UNLOCODE:2022-1
SE RVD,city,Rävlanda,SE-O,UNLOCODE:2022-1
FR ZBR,city,Barleux,FR-80,UNLOCODE:2022-1
NO VNN,city,Vannavalen,NO,UNLOCODE:2022-1
FR NSQ,city,Germigny,FR-58,UNLOCODE:2022-1
CZ HLM,city,Halámky,CZ,UNLOCODE:2022-1
BR NSN,city,Nossa Senhora de Nazaré,BR-PI,UNLOCODE:2022-1
CN CGH,city,Chongzhou,CN-SC,UNLOCODE:2022-1
JP KGU,city,Kanegusuku,JP-47,UNLOCODE:2022-1
GR 2NR,city,Neon Rysion,GR,UNLOCODE:2022-1
ZW GWA,city,Gwanda,ZW-MS,UNLOCODE:2022-1
US JUM,city,Monument,US-KS,UNLOCODE:2022-1
TT VCA,city,Valencia,TT-SGE,UNLOCODE:2022-1
DE RNV,city,Reit,DE-BY,UNLOCODE:2022-1
PT ENT,city,Entroncamento,PT-14,UNLOCODE:2022-1
VE CZE,city,Coro,VE,UNLOCODE:2022-1
PL KOS,city,Koscierzyna,PL-22,UNLOCODE:2022-1
AT PUU,city,Puchenau,AT-4,UNLOCODE:2022-1
FR 2DP,city,La Chapelle-Gauthier,FR-77,UNLOCODE:2022-1
FR HCC,city,Hauconcourt,FR-57,UNLOCODE:2022-1
CA DOO,city,Duntroon,CA-ON,UNLOCODE:2022-1
IL KFA,city,Kefar Malal,IL,UNLOCODE:2022-1
US UAU,city,Cookeville,US-TN,UNLOCODE:2022-1
BE OQC,city,Oisquercq,BE-WBR,UNLOCODE:2022-1
NL HMI,city,Hoogersmilde,NL-DR,UNLOCODE:2022-1
US VCS,city,Cleves,US-OH,UNLOCODE:2022-1
FR 9HL,city,Chassal,FR-39,UNLOCODE:2022-1
PL KUP,city,Krzesimów,PL-06,UNLOCODE:2022-1
BR YBE,city,Ibaté,BR-SP,UNLOCODE:2022-1
DE BVD,city,Böklund,DE-SH,UNLOCODE:2022-1
HR OGU,city,Ogulin,HR,UNLOCODE:2022-1
CN QHA,city,Qionghai,CN-HI,UNLOCODE:2022-1
PG PGN,city,Pangia,PG,UNLOCODE:2022-1
NL WDM,city,Weidum,NL,UNLOCODE:2022-1
US 2CL,city,Crystal Lawns,US-IL,UNLOCODE:2022-1
US QLL,city,Ballard,US-CA,UNLOCODE:2022-1
BD DAC,city,Dhaka,BD-13,UNLOCODE:2022-1
ES CEO,city,Cicero,ES-S,UNLOCODE:2022-1
IT PSZ,city,Portacomaro Stazione,IT,UNLOCODE:2022-1
PL WOI,city,Wolow,PL,UNLOCODE:2022-1
AR IMZ,city,Ingeniero Maschwitz,AR-B,UNLOCODE:2022-1
US 5WS,city,Willow Street,US-PA,UNLOCODE:2022-1
IN RAH,city,Rajgarh,IN-MP,UNLOCODE:2022-1
SK MVV,city,Michalová,SK-BC,UNLOCODE:2022-1
US XCG,city,Bird in Hand,US-PA,UNLOCODE:2022-1
NL RUM,city,Rumpt,NL,UNLOCODE:2022-1
GR KIT,city,Kythira,GR,UNLOCODE:2022-1
FJ WAI,city,Wairiki,FJ,UNLOCODE:2022-1
PL JCW,city,Janowice Wielkie,PL-02,UNLOCODE:2022-1
TT TCY,city,Trincity,TT-TUP,UNLOCODE:2022-1
GR KOA,city,Kónitsa,GR,UNLOCODE:2022-1
US K5T,city,Kingston,US-NC,UNLOCODE:2022-1
IS MJH,city,Mjoeyrarhofn,IS-7,UNLOCODE:2022-1
DE LAA,city,Laasphe (Bad Laasphe),DE-NW,UNLOCODE:2022-1
AT MTK,city,Mautern in Steiermark,AT-6,UNLOCODE:2022-1
GB CDW,city,Chadwell Heath,GB-RDB,UNLOCODE:2022-1
LS SKQ,city,Sekakes,LS,UNLOCODE:2022-1
BE OSR,city,Oostrozebeke,BE-VWV,UNLOCODE:2022-1
ES TNA,city,Artana,ES-CS,UNLOCODE:2022-1
SE URS,city,Ursviken,SE-AC,UNLOCODE:2022-1
CL ALH,city,Alhué,CL-RM,UNLOCODE:2022-1
FR MBF,city,Montauban-de-Luchon,FR-31,UNLOCODE:2022-1
GB BMB,city,Bamberbridge,GB-LAN,UNLOCODE:2022-1
GB LY9,city,Lydden,GB-KEN,UNLOCODE:2022-1
