actor_id,type,name,is_part_of,datasource_id
DE G4L,city,Gillenfeld,DE-RP,UNLOCODE:2022-1
US SLH,city,Seal Beach,US-CA,UNLOCODE:2022-1
FR VVQ,city,Villeneuve-d'Ascq,FR-59,UNLOCODE:2022-1
GB WEK,city,Winterbourne Kingston,GB-DOR,UNLOCODE:2022-1
IN SIT,city,Sitapur,IN-UP,UNLOCODE:2022-1
ES IMA,city,Imarcoain,ES-NA,UNLOCODE:2022-1
AT KOP,city,Koppl,AT-5,UNLOCODE:2022-1
PT OVA,city,Ovar,PT-01,UNLOCODE:2022-1
BR BJN,city,Bom Jesus do Norte,BR-ES,UNLOCODE:2022-1
FR M8M,city,Martres-sur-Morge,FR-63,UNLOCODE:2022-1
HR GCN,city,Gorican,HR-20,UNLOCODE:2022-1
FR U6S,city,Naours,FR-80,UNLOCODE:2022-1
DK GBY,city,Gamby,DK,UNLOCODE:2022-1
MU PNX,city,Phoenix,MU-PW,UNLOCODE:2022-1
FR SUR,city,Survilliers,FR-95,UNLOCODE:2022-1
JP SOZ,city,Sozu,JP-32,UNLOCODE:2022-1
HU GER,city,Gerendás,HU-BE,UNLOCODE:2022-1
PE HNC,city,Huancané,PE-PUN,UNLOCODE:2022-1
PL SZX,city,Susz,PL-28,UNLOCODE:2022-1
DE 3AB,city,Almdorf,DE-SH,UNLOCODE:2022-1
MX SEY,city,Seybaplaya,MX-CAM,UNLOCODE:2022-1
NZ CGE,city,Cambridge,NZ-WKO,UNLOCODE:2022-1
NC DUM,city,Dumbéa,NC,UNLOCODE:2022-1
BR PQB,city,Piquerobi,BR-SP,UNLOCODE:2022-1
ES CIV,city,Ciervana,ES-BI,UNLOCODE:2022-1
US SQO,city,Springboro,US-OH,UNLOCODE:2022-1
PH BMB,city,Bayombong,PH-NUV,UNLOCODE:2022-1
JP SFI,city,"Sakai, Fukui",JP-18,UNLOCODE:2022-1
FR NRA,city,Anor,FR-59,UNLOCODE:2022-1
IT TVG,city,Treviglio,IT,UNLOCODE:2022-1
DE SLD,city,Saterland,DE-NI,UNLOCODE:2022-1
DE ZCY,city,Nordendorf,DE-BY,UNLOCODE:2022-1
BG OGN,city,Ognyanovo,BG-13,UNLOCODE:2022-1
ES VBA,city,Venta de Baños,ES-P,UNLOCODE:2022-1
UA DPS,city,Dniprovs'Ke,UA-12,UNLOCODE:2022-1
US QUK,city,Cantua Creek,US-CA,UNLOCODE:2022-1
DE LGB,city,Langenbach,DE-BW,UNLOCODE:2022-1
CA VMT,city,Vimont,CA-QC,UNLOCODE:2022-1
GB COL,city,Colchester,GB-ESS,UNLOCODE:2022-1
SK VPM,city,Vysoká pri Morave,SK-BL,UNLOCODE:2022-1
IT CXF,city,Capriva del Friuli,IT-GO,UNLOCODE:2022-1
AU WW7,city,Longwood,AU-VIC,UNLOCODE:2022-1
JP ATT,city,Atatajima,JP-34,UNLOCODE:2022-1
IM DGS,city,Douglas,IM,UNLOCODE:2022-1
FR XLM,city,Luçay-le-Mâle,FR-36,UNLOCODE:2022-1
NL DRM,city,Drimmelen,NL-NB,UNLOCODE:2022-1
FR JS4,city,Saint-Jean-de-Soudain,FR-38,UNLOCODE:2022-1
GB NWC,city,Newick,GB-ESX,UNLOCODE:2022-1
IN VTC,city,Cheyyar-SEZ/Vellore,IN-TN,UNLOCODE:2022-1
CR CIA,city,Cariari,CR,UNLOCODE:2022-1
NL DDM,city,Didam,NL,UNLOCODE:2022-1
MW MYZ,city,Monkey Bay,MW,UNLOCODE:2022-1
US ZDK,city,Greece,US-NY,UNLOCODE:2022-1
DE 84L,city,Schameder,DE-NW,UNLOCODE:2022-1
FR LM6,city,Le Mesnil-Rogues,FR-50,UNLOCODE:2022-1
LK WAD,city,Wadakada,LK-32,UNLOCODE:2022-1
LB KYE,city,Tripoli,LB,UNLOCODE:2022-1
RS GNJ,city,Gnjilane,RS-25,UNLOCODE:2022-1
RU RND,city,Rostov-na-Donu,RU-ROS,UNLOCODE:2022-1
DK HVB,city,Hovborg,DK,UNLOCODE:2022-1
RO PLR,city,Poiana Lacului,RO-AG,UNLOCODE:2022-1
ES MML,city,Montmell,ES,UNLOCODE:2022-1
ES APM,city,Almoines,ES,UNLOCODE:2022-1
US ZJN,city,Waskom,US-TX,UNLOCODE:2022-1
DE GTS,city,Bregenstedt,DE-ST,UNLOCODE:2022-1
BR LBO,city,Lambari D'Oeste,BR-MT,UNLOCODE:2022-1
CA GRR,city,Gorrie,CA-ON,UNLOCODE:2022-1
BR RFO,city,Rio do Fogo,BR-RN,UNLOCODE:2022-1
AU SNS,city,Roselands,AU-NSW,UNLOCODE:2022-1
US PTA,city,Port Alsworth,US-AK,UNLOCODE:2022-1
LU XXX,city,RIS Inland waterways,LU,UNLOCODE:2022-1
US TYN,city,Taylorsville,US-NC,UNLOCODE:2022-1
US OPA,city,Opp,US-AL,UNLOCODE:2022-1
US PH9,city,Phillips,US-NE,UNLOCODE:2022-1
BR UUA,city,Uruará,BR-PA,UNLOCODE:2022-1
FR HE2,city,Sessenheim,FR-67,UNLOCODE:2022-1
IN KDA,city,Kodarma (Koderma),IN-JH,UNLOCODE:2022-1
ID GIL,city,"Gilimanuk, Bali",ID,UNLOCODE:2022-1
FR AUJ,city,Augan,FR-56,UNLOCODE:2022-1
BR AWD,city,Arroio do Padre,BR-RS,UNLOCODE:2022-1
HR VEZ,city,Veliki Zdenci,HR-07,UNLOCODE:2022-1
US XHP,city,Lackawanna,US-NY,UNLOCODE:2022-1
US MT9,city,Mantua,US-OH,UNLOCODE:2022-1
IT ION,city,Bione,IT-BS,UNLOCODE:2022-1
IL VRA,city,Kefar Vradim,IL,UNLOCODE:2022-1
TR ORT,city,Ortaca,TR-48,UNLOCODE:2022-1
FR NBY,city,Nogent-en-Bassigny,FR-52,UNLOCODE:2022-1
US V87,city,Sunderland,US-VT,UNLOCODE:2022-1
DE GLW,city,Glasow,DE-MV,UNLOCODE:2022-1
AU PYE,city,Pyrenees,AU-VIC,UNLOCODE:2022-1
DE BNG,city,Bretnig,DE-SN,UNLOCODE:2022-1
HN CFR,city,Cofradia,HN-CR,UNLOCODE:2022-1
DK BRB,city,Brabrand,DK,UNLOCODE:2022-1
NO INN,city,Innhavet,NO-18,UNLOCODE:2022-1
LB BHA,city,Bhamdoun,LB-JL,UNLOCODE:2022-1
PG DLB,city,Dalbertis,PG,UNLOCODE:2022-1
JP SHA,city,Shunan,JP-35,UNLOCODE:2022-1
NO UTH,city,Uthaug,NO,UNLOCODE:2022-1
UA RPN,city,Irpin',UA-32,UNLOCODE:2022-1
BR CVH,city,Cravinhos,BR-SP,UNLOCODE:2022-1
DE SL5,city,Stahlbrode,DE-MV,UNLOCODE:2022-1
US HTT,city,Hartford,US-MI,UNLOCODE:2022-1
NZ WTZ,city,Whitianga,NZ-WKO,UNLOCODE:2022-1
PL WCZ,city,Wilczyn,PL-30,UNLOCODE:2022-1
IT OSR,city,Occhieppo Superiore,IT-BI,UNLOCODE:2022-1
DE K8H,city,Kirchham,DE-BY,UNLOCODE:2022-1
EE VRS,city,Varese Sadam,EE-74,UNLOCODE:2022-1
NO FRO,city,Florø,NO,UNLOCODE:2022-1
ES BVA,city,Becilla de Valderaduey,ES,UNLOCODE:2022-1
FR BQA,city,Bauvin,FR-59,UNLOCODE:2022-1
US AAM,city,Salem,US-AL,UNLOCODE:2022-1
AU LFP,city,Lakefield,AU-QLD,UNLOCODE:2022-1
NL BTH,city,Bathmen,NL,UNLOCODE:2022-1
IT ZPT,city,Palagonia,IT-CT,UNLOCODE:2022-1
US ONV,city,Converse,US-LA,UNLOCODE:2022-1
CZ KSL,city,Kostelec nad Labem,CZ,UNLOCODE:2022-1
FR RIZ,city,Rioz,FR-70,UNLOCODE:2022-1
BR PTV,city,Patu,BR-RN,UNLOCODE:2022-1
ZA ZAG,city,Beacon Bay,ZA-EC,UNLOCODE:2022-1
BR PCD,city,Paula Cândido,BR-MG,UNLOCODE:2022-1
NO KMV,city,Kamøyvær,NO,UNLOCODE:2022-1
AT OAH,city,Ottnang am Hausruck,AT-4,UNLOCODE:2022-1
AT KEU,city,Kötschach-Mauthen,AT,UNLOCODE:2022-1
US IFL,city,Island Falls,US-ME,UNLOCODE:2022-1
BE MBL,city,Munsterbilzen,BE-VLI,UNLOCODE:2022-1
US MCE,city,Merced,US-CA,UNLOCODE:2022-1
AR VED,city,Vedia,AR-B,UNLOCODE:2022-1
IT CQP,city,Cremolino,IT-AL,UNLOCODE:2022-1
DE BEJ,city,Berghülen,DE-BW,UNLOCODE:2022-1
US BBJ,city,Baldwin,US-GA,UNLOCODE:2022-1
GT ANT,city,Antigua,GT,UNLOCODE:2022-1
DE CLN,city,Brickeln,DE-SH,UNLOCODE:2022-1
IS ASS,city,Arskogssandur,IS,UNLOCODE:2022-1
FR V9Z,city,Velles,FR-36,UNLOCODE:2022-1
PK DRK,city,Daharki,PK,UNLOCODE:2022-1
US SEM,city,Salem,US-NJ,UNLOCODE:2022-1
US 9PP,city,Pocono Pines,US-PA,UNLOCODE:2022-1
BG MII,city,Mitrovtsi,BG-12,UNLOCODE:2022-1
BR GBU,city,Guabiju,BR-RS,UNLOCODE:2022-1
AU ABC,city,Beulah,AU-VIC,UNLOCODE:2022-1
NL STK,city,Stadskanaal,NL,UNLOCODE:2022-1
PL JZI,city,Jeziorany,PL-28,UNLOCODE:2022-1
US RW5,city,Wright-Patterson,US-OH,UNLOCODE:2022-1
SO CXN,city,Candala,SO,UNLOCODE:2022-1
DE HXQ,city,Heek,DE-NW,UNLOCODE:2022-1
BR KRI,city,Caridade do Piauí,BR-PI,UNLOCODE:2022-1
ZA ZCJ,city,Gouda,ZA-WC,UNLOCODE:2022-1
LU ESS,city,Esch-sur-Sûre (Esch-Sauer),LU-WI,UNLOCODE:2022-1
ES VLH,city,Vallehermosa,ES-TF,UNLOCODE:2022-1
IN RAB,city,Ramban,IN-JK,UNLOCODE:2022-1
