actor_id,type,name,is_part_of,datasource_id
US 9CY,city,Cudjoe Key,US-FL,UNLOCODE:2022-1
BR ONO,city,Ourilândia do Norte,BR-PA,UNLOCODE:2022-1
BR SJL,city,São José da Laje,BR-AL,UNLOCODE:2022-1
PL SZC,city,Szczecinek,PL-32,UNLOCODE:2022-1
US HRK,city,Holbrook,US-MA,UNLOCODE:2022-1
US NNF,city,Newtonville,US-MA,UNLOCODE:2022-1
IT GUS,city,Guastalla,IT,UNLOCODE:2022-1
ES GOA,city,Garona,ES-BU,UNLOCODE:2022-1
NA OVO,city,Oshivelo,NA-OT,UNLOCODE:2022-1
DE NKS,city,Neunkirchen am Sand,DE-BY,UNLOCODE:2022-1
NL ZDV,city,Zandvoort,NL,UNLOCODE:2022-1
PK TFT,city,Taftan,PK-BA,UNLOCODE:2022-1
GB SOK,city,South Kirkby,GB-WKF,UNLOCODE:2022-1
SK HNH,city,Hliník nad Hronom,SK-BC,UNLOCODE:2022-1
CN DAT,city,Datong,CN-SX,UNLOCODE:2022-1
VE SLV,city,San Lorenzo/Maracaibo L,VE,UNLOCODE:2022-1
JP OMX,city,"Ohama, Tottori",JP-31,UNLOCODE:2022-1
FR YYP,city,Prunay-Cassereau,FR-41,UNLOCODE:2022-1
CI LKT,city,Lakota,CI,UNLOCODE:2022-1
EC LOH,city,Loja,EC,UNLOCODE:2022-1
CN YHO,city,Yanzhou,CN-SD,UNLOCODE:2022-1
IT LZ2,city,Lizzanello,IT-LE,UNLOCODE:2022-1
ES CIA,city,Cirueña,ES-LO,UNLOCODE:2022-1
BR CEO,city,Castelo,BR-ES,UNLOCODE:2022-1
US XEI,city,Cashmere,US-WA,UNLOCODE:2022-1
CD TNK,city,Tenke,CD,UNLOCODE:2022-1
HU ZHP,city,Zalahalap,HU-VM,UNLOCODE:2022-1
HR PRZ,city,Porozina,HR,UNLOCODE:2022-1
CH JJO,city,Melide,CH,UNLOCODE:2022-1
AU CGA,city,Coolgardie,AU-WA,UNLOCODE:2022-1
FR CSM,city,Châlons-en-Champagne,FR-51,UNLOCODE:2022-1
FR BVH,city,Saint-Geniès-Bellevue,FR-31,UNLOCODE:2022-1
US PER,city,Perris,US-CA,UNLOCODE:2022-1
GB AGL,city,Ardglass,GB,UNLOCODE:2022-1
FR RFM,city,Rochefort-Montagne,FR-63,UNLOCODE:2022-1
SE FGN,city,Flyinge,SE-M,UNLOCODE:2022-1
CN KGT,city,Kangding,CN-SC,UNLOCODE:2022-1
CZ TBD,city,Treboradice,CZ,UNLOCODE:2022-1
CL REQ,city,Requínoa,CL-LI,UNLOCODE:2022-1
CA TEU,city,Teulon,CA-MB,UNLOCODE:2022-1
AU KAY,city,Kayena,AU-TAS,UNLOCODE:2022-1
FR TSD,city,Les Trois-Domaines,FR-55,UNLOCODE:2022-1
IN TNI,city,Hipl SEZ/Visakhapatnam,IN-AP,UNLOCODE:2022-1
BR XAL,city,Chalé,BR-MG,UNLOCODE:2022-1
IT ZAS,city,Casalvieri,IT-FR,UNLOCODE:2022-1
FI TJO,city,Tessjö (Tesjoki),FI-18,UNLOCODE:2022-1
FR JUX,city,Jaux,FR-60,UNLOCODE:2022-1
NL STE,city,Steenbergen,NL,UNLOCODE:2022-1
PH PAS,city,"Pasay, Luzon",PH,UNLOCODE:2022-1
IT BRB,city,Barbarasco,IT-MS,UNLOCODE:2022-1
