actor_id,type,name,is_part_of,datasource_id
NO FND,city,Finneid,NO-18,UNLOCODE:2022-1
GB LGC,city,Longcross,GB-SRY,UNLOCODE:2022-1
IT LOR,city,Loria,IT-TV,UNLOCODE:2022-1
US CP6,city,Cove Point,US-MD,UNLOCODE:2022-1
FR VB8,city,Bâgé-la-Ville,FR-01,UNLOCODE:2022-1
IT VRV,city,Vittorio Veneto,IT-TV,UNLOCODE:2022-1
US PSX,city,Palacios,US-TX,UNLOCODE:2022-1
FJ MNF,city,Mana Island,FJ,UNLOCODE:2022-1
FR IMG,city,Rimogne,FR-08,UNLOCODE:2022-1
PL OXI,city,Wegrow,PL,UNLOCODE:2022-1
FR AUA,city,Aulus-les-Bains,FR-09,UNLOCODE:2022-1
ZM KTM,city,Katima Mulilo,ZM-01,UNLOCODE:2022-1
PL OSN,city,Osina,PL-32,UNLOCODE:2022-1
BY KNV,city,Kokhanovo,BY,UNLOCODE:2022-1
GB BCO,city,Blackrod,GB-BOL,UNLOCODE:2022-1
BR FEX,city,Fênix,BR-PR,UNLOCODE:2022-1
CZ JIE,city,Jevisovice,CZ,UNLOCODE:2022-1
IT PEZ,city,Pezzan di Carbonera,IT-TV,UNLOCODE:2022-1
BR YGT,city,Igaratá,BR-SP,UNLOCODE:2022-1
MQ MBA,city,Macouba,MQ,UNLOCODE:2022-1
SB TAA,city,Tarapaina,SB,UNLOCODE:2022-1
PL WIL,city,Wieliczka,PL,UNLOCODE:2022-1
US LLY,city,Mount Holly,US-NJ,UNLOCODE:2022-1
MX ADZ,city,Atizapán de Zaragoza,MX-TAM,UNLOCODE:2022-1
IT BBV,city,Barbarano Vicentino,IT-VI,UNLOCODE:2022-1
DE WFU,city,Wolfstein (Neumarkt in der Oberpfalz),DE-BY,UNLOCODE:2022-1
BR JPU,city,Japurá,BR-PR,UNLOCODE:2022-1
NL LEE,city,Leek,NL,UNLOCODE:2022-1
BR EMO,city,Elísio Medrado,BR-BA,UNLOCODE:2022-1
AT SWH,city,Gross-Schweinbarth,AT-3,UNLOCODE:2022-1
IT CS3,city,Concordia Sagittaria,IT-VE,UNLOCODE:2022-1
ES AMU,city,Amurrio,ES,UNLOCODE:2022-1
CN SSG,city,Shashangang,CN,UNLOCODE:2022-1
ES SP2,city,San Pablo de los Montes,ES-TO,UNLOCODE:2022-1
GB JHW,city,Crown Dry-Dock,GB-KHL,UNLOCODE:2022-1
BE MBU,city,Masbourg,BE-WLX,UNLOCODE:2022-1
US PHV,city,Port Hudson,US-LA,UNLOCODE:2022-1
BE CRE,city,Courrière,BE-WNA,UNLOCODE:2022-1
PA LES,city,La Estrella,PA-4,UNLOCODE:2022-1
NL ZAY,city,Herten,NL-LI,UNLOCODE:2022-1
US AJW,city,Avondale,US-CO,UNLOCODE:2022-1
IT PRC,city,Porcia,IT,UNLOCODE:2022-1
US KQP,city,Soda Springs,US-CA,UNLOCODE:2022-1
CN WJD,city,Wenjindu,CN-GD,UNLOCODE:2022-1
CH KNA,city,Knonau,CH-ZH,UNLOCODE:2022-1
US OZP,city,Arapaho,US-OK,UNLOCODE:2022-1
KW AIS,city,Ali al Salem AB,KW,UNLOCODE:2022-1
BR YTC,city,Itauçu,BR-GO,UNLOCODE:2022-1
DE SH4,city,Altengörs,DE-SH,UNLOCODE:2022-1
IT ZBW,city,Grottaminarda,IT-AV,UNLOCODE:2022-1
DE AFE,city,Ahrensfelde,DE-BB,UNLOCODE:2022-1
FR HOE,city,Hrdt,FR-67,UNLOCODE:2022-1
ES BRV,city,Briviesca,ES-BU,UNLOCODE:2022-1
BR APZ,city,Adrianópolis,BR-PR,UNLOCODE:2022-1
GB STM,city,Stanmore,GB-HRW,UNLOCODE:2022-1
AF ISQ,city,Eslam Qal'eh,AF,UNLOCODE:2022-1
CA YSK,city,Sanikiluaq,CA-NU,UNLOCODE:2022-1
IT SLR,city,Solero,IT,UNLOCODE:2022-1
PT AME,city,Amieirinha,PT-10,UNLOCODE:2022-1
NL FEE,city,Feerwerd,NL,UNLOCODE:2022-1
JP NRI,city,"Narita, Chiba",JP-12,UNLOCODE:2022-1
SE LAY,city,Långaryd,SE-N,UNLOCODE:2022-1
JP NOB,city,Nobeoka,JP-45,UNLOCODE:2022-1
GB TBA,city,Tebay,GB-CMA,UNLOCODE:2022-1
DE OTI,city,Oettingen in Bayern,DE-BY,UNLOCODE:2022-1
JP SEQ,city,Se/Izuhara,JP-42,UNLOCODE:2022-1
CN HDU,city,Huadu,CN-GD,UNLOCODE:2022-1
DE DUE,city,Düren,DE-NW,UNLOCODE:2022-1
BR JMR,city,Jumirim,BR-SP,UNLOCODE:2022-1
PA QEC,city,Quebrada El Ciprián,PA-6,UNLOCODE:2022-1
US KVQ,city,Skull Valley,US-AZ,UNLOCODE:2022-1
IT AON,city,Saonara,IT-PD,UNLOCODE:2022-1
PL CWO,city,Czerwonak,PL,UNLOCODE:2022-1
NL BWE,city,Burgwerd,NL-FR,UNLOCODE:2022-1
FR O59,city,Ostricourt,FR-59,UNLOCODE:2022-1
BR GDM,city,Guarani das Missões,BR-RS,UNLOCODE:2022-1
JP TGA,city,Taga,JP-25,UNLOCODE:2022-1
ES PRJ,city,Préjano,ES-LO,UNLOCODE:2022-1
CZ MOS,city,Mosnov,CZ,UNLOCODE:2022-1
US S3B,city,South Bend,US-LA,UNLOCODE:2022-1
US ULG,city,Luling,US-TX,UNLOCODE:2022-1
ES B9C,city,Bernúy de Coca,ES-SG,UNLOCODE:2022-1
ID KIJ,city,Kijang,ID,UNLOCODE:2022-1
IT TZ8,city,Tramatza,IT-OR,UNLOCODE:2022-1
AR GPO,city,General Pico,AR-L,UNLOCODE:2022-1
FR SN3,city,Saint-Nizier-du-Moucherotte,FR-38,UNLOCODE:2022-1
AF KUR,city,Kuran-O-Munjan,AF,UNLOCODE:2022-1
FR GNP,city,Campugnan,FR-33,UNLOCODE:2022-1
DE HMA,city,Hemau,DE-BY,UNLOCODE:2022-1
TN EFA,city,Enfida,TN-51,UNLOCODE:2022-1
CH REV,city,Reverolle,CH-VD,UNLOCODE:2022-1
IT GVS,city,Gudo Visconti,IT-MI,UNLOCODE:2022-1
MX ISD,city,Isla Cedros,MX-BCN,UNLOCODE:2022-1
SE MNO,city,Munsö,SE-AB,UNLOCODE:2022-1
BE MOE,city,Moelingen,BE-VLI,UNLOCODE:2022-1
ZA ADY,city,Alldays,ZA,UNLOCODE:2022-1
US ZH3,city,Hillsboro,US-WI,UNLOCODE:2022-1
US PZT,city,Paris,US-KY,UNLOCODE:2022-1
IT GVX,city,Cereglio Vergato,IT-BO,UNLOCODE:2022-1
BR LAO,city,Lajedo,BR-PE,UNLOCODE:2022-1
GB DER,city,Dereham,GB-NFK,UNLOCODE:2022-1
GB IRT,city,Irchester,GB-NTH,UNLOCODE:2022-1
FR SRT,city,Saint-Christoly-de-Blaye,FR-33,UNLOCODE:2022-1
IE KTE,city,Kilteel,IE-KE,UNLOCODE:2022-1
FR TUZ,city,Trun,FR-61,UNLOCODE:2022-1
JP UWA,city,Uwajima,JP-38,UNLOCODE:2022-1
FR FM5,city,Moisselles,FR-95,UNLOCODE:2022-1
SK DNV,city,Dubnica nad Váhom,SK,UNLOCODE:2022-1
ES ZCQ,city,Baena,ES-CO,UNLOCODE:2022-1
US GOH,city,Goshen,US-CT,UNLOCODE:2022-1
DE WKP,city,Westerkappeln,DE-NW,UNLOCODE:2022-1
GB MOR,city,Morpeth,GB-NBL,UNLOCODE:2022-1
US MBR,city,Middlesboro,US-KY,UNLOCODE:2022-1
FI VNA,city,Vanhalinna,FI-19,UNLOCODE:2022-1
TT CAR,city,Caroni,TT-ARI,UNLOCODE:2022-1
BR TUL,city,Taquaral,BR-SP,UNLOCODE:2022-1
PL WAC,city,Wachock,PL,UNLOCODE:2022-1
GB LRS,city,Llanwrst,GB-CWY,UNLOCODE:2022-1
AT ZAM,city,Zams,AT-7,UNLOCODE:2022-1
GB HOV,city,"Housa Voe, Papa Stour",GB-ZET,UNLOCODE:2022-1
LY NFR,city,Nafoora,LY,UNLOCODE:2022-1
RO BRL,city,Bârlad,RO,UNLOCODE:2022-1
GB LGS,city,Largs,GB-NAY,UNLOCODE:2022-1
VE MAI,city,Maiquetía,VE-A,UNLOCODE:2022-1
DE 82J,city,Wilhelmsdorf,DE-BW,UNLOCODE:2022-1
RO OVI,city,Ovidiu,RO-CT,UNLOCODE:2022-1
GB LOF,city,Longford,GB-COV,UNLOCODE:2022-1
BG MIZ,city,Miziya,BG,UNLOCODE:2022-1
US ZXW,city,McConnellsville,US-NY,UNLOCODE:2022-1
DZ EZZ,city,Bab Ezzouar,DZ-16,UNLOCODE:2022-1
FR DAR,city,Darney,FR-88,UNLOCODE:2022-1
US KHW,city,Eleele,US-HI,UNLOCODE:2022-1
GB HGM,city,Hingham,GB-NFK,UNLOCODE:2022-1
US TDA,city,Saint Albans,US-NY,UNLOCODE:2022-1
CA HAG,city,Hague,CA-SK,UNLOCODE:2022-1
MX CVC,city,Cuernavaca,MX-MOR,UNLOCODE:2022-1
US MX4,city,Manassa,US-CO,UNLOCODE:2022-1
GB TGM,city,Tangmere,GB-WSX,UNLOCODE:2022-1
ZA ZCS,city,Bredasdorp,ZA-WC,UNLOCODE:2022-1
DE ALY,city,Albaching,DE-BY,UNLOCODE:2022-1
EG SKV,city,Santa Katarina,EG,UNLOCODE:2022-1
RU IVA,city,Ivangorod,RU,UNLOCODE:2022-1
PY INF,city,Mayor Infante Rivarola,PY-19,UNLOCODE:2022-1
US OJS,city,Somers,US-NY,UNLOCODE:2022-1
RO CRP,city,Crâmpoia,RO-OT,UNLOCODE:2022-1
FR TTQ,city,Cellettes,FR-41,UNLOCODE:2022-1
KI PHO,city,Phoenix Islands,KI,UNLOCODE:2022-1
MX LUM,city,Luis Moya,MX-ZAC,UNLOCODE:2022-1
JM ROP,city,Rocky Point,JM,UNLOCODE:2022-1
BR CCE,city,Cabeceiras,BR-GO,UNLOCODE:2022-1
FR IEL,city,Salinelles,FR-30,UNLOCODE:2022-1
BG KHK,city,Khan Krum,BG,UNLOCODE:2022-1
CA EDA,city,Edam,CA-SK,UNLOCODE:2022-1
DO SFN,city,San Francisco de Macorís,DO,UNLOCODE:2022-1
PH PNS,city,Las Pinas,PH-NUE,UNLOCODE:2022-1
ID BLW,city,"Belawan, Sumatra",ID,UNLOCODE:2022-1
FR ZEX,city,Lignières-Sonneville,FR-16,UNLOCODE:2022-1
MY PAD,city,Pandamaran,MY-10,UNLOCODE:2022-1
AT SPI,city,Spittal an der Drau,AT-2,UNLOCODE:2022-1
GB KBR,city,Kelbrook,GB-LAN,UNLOCODE:2022-1
GB WSX,city,Bolney,GB-WSX,UNLOCODE:2022-1
FR UTC,city,Mutrécy,FR-14,UNLOCODE:2022-1
SE GLB,city,Gamleby,SE-H,UNLOCODE:2022-1
GB FNL,city,Finningley,GB-DNC,UNLOCODE:2022-1
US GGJ,city,Grangeville,US-ID,UNLOCODE:2022-1
CZ BAJ,city,Bakov nad Jizerou,CZ,UNLOCODE:2022-1
CN YCH,city,Yinchuan,CN-NX,UNLOCODE:2022-1
DE MKB,city,Marktgraitz,DE-BY,UNLOCODE:2022-1
US IDW,city,Midwest City,US-OK,UNLOCODE:2022-1
FR OPR,city,Le Boupère,FR-85,UNLOCODE:2022-1
CA VIH,city,Victoria Harbour,CA-ON,UNLOCODE:2022-1
FR EDY,city,Brélidy,FR-22,UNLOCODE:2022-1
FR D5F,city,Grandfontaine,FR-25,UNLOCODE:2022-1
AU CBR,city,Canberra,AU-ACT,UNLOCODE:2022-1
IT POZ,city,Pozzuoli,IT,UNLOCODE:2022-1
IN GTG,city,Gitaldah Road,IN-AS,UNLOCODE:2022-1
NL KAP,city,Kapellebrug,NL,UNLOCODE:2022-1
DE GSY,city,Grossenwiehe,DE-SH,UNLOCODE:2022-1
CZ ZLL,city,Hvozdna,CZ,UNLOCODE:2022-1
US WW5,city,Whitewater,US-MO,UNLOCODE:2022-1
US SWH,city,Sandwich,US-IL,UNLOCODE:2022-1
BR IGD,city,Iguaba Grande,BR-RJ,UNLOCODE:2022-1
US KAI,city,Kaiser,US-CA,UNLOCODE:2022-1
US RVP,city,Ropesville,US-TX,UNLOCODE:2022-1
NL DMK,city,Demmerik,NL-UT,UNLOCODE:2022-1
FR AGW,city,Saint-Aignan-Grandlieu,FR-44,UNLOCODE:2022-1
FR CJN,city,Canéjean,FR-33,UNLOCODE:2022-1
US LYW,city,Lynwood,US-IL,UNLOCODE:2022-1
IT LLO,city,Lallio,IT-BG,UNLOCODE:2022-1
FR 8LA,city,La Chapelle-Saint-Ouen,FR-76,UNLOCODE:2022-1
DE DKN,city,Dülken,DE-NW,UNLOCODE:2022-1
GB HOK,city,Hook,GB-LIN,UNLOCODE:2022-1
NO VNJ,city,Vinjeøra,NO,UNLOCODE:2022-1
IT P6A,city,Paupisi,IT-BN,UNLOCODE:2022-1
US CXZ,city,Sharon Center,US-OH,UNLOCODE:2022-1
FR AFA,city,Auffay,FR-76,UNLOCODE:2022-1
CH THI,city,Thalheim,CH-AG,UNLOCODE:2022-1
DE B4E,city,Beenz,DE-BB,UNLOCODE:2022-1
US WJN,city,Winsted,US-MN,UNLOCODE:2022-1
FR MAU,city,Maubeuge,FR-59,UNLOCODE:2022-1
GB MYD,city,Merseyside,GB-LIV,UNLOCODE:2022-1
CH TUB,city,Tübach,CH-SG,UNLOCODE:2022-1
CZ KRH,city,Rokytnice v Orlickych Horach,CZ,UNLOCODE:2022-1
PY CCP,city,Capiata,PY-11,UNLOCODE:2022-1
